visit_date,visitors,day_of_week
2017-03-25,8889,Saturday
2017-03-26,5211,Sunday
2017-03-27,4377,Monday
2017-03-28,5695,Tuesday
2017-03-29,6354,Wednesday
2017-03-30,6184,Thursday
2017-03-31,7507,Friday
2017-04-01,7396,Saturday
2017-04-02,5258,Sunday
2017-04-03,4146,Monday
2017-04-04,5031,Tuesday
2017-04-05,5135,Wednesday
2017-04-06,4753,Thursday
2017-04-07,6941,Friday
2017-04-08,7462,Saturday
2017-04-09,4961,Sunday
2017-04-10,3719,Monday
2017-04-11,4244,Tuesday
2017-04-12,5092,Wednesday
2017-04-13,5217,Thursday
2017-04-14,7411,Friday
2017-04-15,7984,Saturday
2017-04-16,5723,Sunday
2017-04-17,3597,Monday
2017-04-18,4740,Tuesday
2017-04-19,5388,Wednesday
2017-04-20,5193,Thursday
2017-04-21,7265,Friday
2017-04-22,8033,Saturday
